"Id","Var1","Freq_x","Freq_y","Freq"
"1","1",17,16,5
"2","10",53,26,2
"3","11",30,20,8
"4","12",43,33,18
"5","13",61,37,18
"6","14",22,19,5
"7","15",54,26,17
"8","16",72,40,5
"9","18",55,27,12
"10","19",68,34,15
"11","2",22,28,9
"12","20",67,55,19
"13","21",18,8,1
"14","22",66,37,12
"15","23",33,21,9
"16","24",42,28,12
"17","25",79,40,13
"18","26",69,35,7
"19","27",65,26,4
"20","28",77,45,12
"21","29",162,109,30
"22","3",20,13,4
"23","31",20,14,4
"24","32",108,48,19
"25","33",51,30,11
"26","34",55,39,13
"27","35",54,28,12
"28","36",118,48,10
"29","37",62,25,12
"30","38",60,42,8
"31","39",111,44,11
"32","4",14,18,7
"33","40",100,89,18
"34","41",76,41,12
"35","42",76,40,16
"36","43",25,8,6
"37","44",95,40,9
"38","45",73,49,13
"39","46",81,38,13
"40","47",84,53,13
"41","48",56,23,3
"42","49",86,31,11
"43","5",36,16,9
"44","50",120,53,8
"45","51",129,63,15
"46","52",91,53,16
"47","53",123,54,18
"48","54",2,3,1
"49","55",116,52,7
"50","56",77,51,12
"51","57",86,39,11
"52","58",127,53,13
"53","59",12,3,1
"54","6",29,12,11
"55","60",107,52,9
"56","61",68,37,6
"57","62",90,49,12
"58","63",156,62,12
"59","64",63,32,9
"60","65",95,47,12
"61","66",134,63,15
"62","67",82,68,18
"63","68",69,41,8
"64","69",113,50,10
"65","7",38,36,9
"66","70",157,45,5
"67","71",46,32,13
"68","72",64,36,12
"69","73",101,49,19
"70","74",60,32,13
"71","75",75,39,14
"72","76",116,45,19
"73","77",56,24,9
"74","78",111,53,16
"75","79",93,41,14
"76","8",33,31,11
"77","80",143,51,17
"78","81",68,25,11
"79","82",110,38,9
"80","83",133,45,8
"81","84",90,35,12
"82","85",93,34,6
"83","86",81,25,4
"84","87",88,31,12
"85","88",73,27,8
"86","89",106,45,12
"87","9",13,10,2
"88","90",121,66,17
"89","91",93,31,14
"90","92",155,62,19
"91","93",78,34,11
"92","94",86,43,13
"93","95",119,55,14
"94","96",108,49,11
"95","97",91,38,11
"96","98",120,69,16
"97","99",135,75,28
