ID,Employee_index,Customer's_gender,Age,New_customer_Index,Customer_seniority,Class,Customer_type,Customer_relation_type,Residence_index,Foreigner_index,Deceased_index,Addres_type,Activity_index,Gross_income,segmentation,Distance,Price,quantity_to_binary,udc_id
1362639,N,V,42,0,41,1,1,A,S,N,N,1,1,145507.11,02 - PARTICULARES,89,44,1,2413925148
13280757,N,H,33,0,20,1,1,I,S,N,N,1,0,111559.56,02 - PARTICULARES,1,17,1,4010961747
8995064,N,H,19,1,6,1,1,A,S,N,N,1,1,90740.01,03 - UNIVERSITARIO,83,154,1,4229824152
13444882,N,H,25,0,43,1,1,I,S,N,N,1,0,74084.04,03 - UNIVERSITARIO,80,41,1,467162029
8262574,N,H,25,0,52,1,1,I,S,N,N,1,0,130013.37,03 - UNIVERSITARIO,53,59,1,2019875692
2902893,N,H,76,0,161,1,1,I,S,N,N,1,1,275608.35,02 - PARTICULARES,91,115,1,3366172919
349533,N,V,87,0,171,1,1,A,S,N,N,1,1,61262.34,02 - PARTICULARES,63,64,1,1291242313
6928975,N,H,81,1,6,1,1,A,S,N,N,1,1,77094.39,01 - TOP,97,181,1,2245017715
2657810,N,V,26,0,46,1,1,I,S,S,N,1,0,71703,03 - UNIVERSITARIO,89,182,1,1306332048
2381548,N,V,13,0,38,1,1,A,S,N,N,1,1,152973.3,02 - PARTICULARES,83,164,1,2028837762
11493269,N,V,45,0,139,1,1,I,S,N,N,1,0,164520.6,02 - PARTICULARES,19,153,1,3582109042
8225524,N,H,34,0,55,1,1,A,S,N,N,1,1,62023.89,02 - PARTICULARES,22,181,1,1265397036
5993797,N,H,31,0,13,1,1,A,S,N,N,1,1,63171,02 - PARTICULARES,68,115,1,1677917375
7104063,N,H,42,0,129,1,1,I,S,N,N,1,0,65949.84,02 - PARTICULARES,7,84,1,2895468247
6711295,N,H,13,0,13,1,1,A,S,N,N,1,1,123167.16,02 - PARTICULARES,17,124,1,2134275316
10763181,N,H,41,0,93,1,1,I,S,N,N,1,0,105855.09,02 - PARTICULARES,9,39,1,2235383665
6908410,N,V,50,0,65,1,1,I,S,N,N,1,0,282199.38,02 - PARTICULARES,96,145,1,2198740102
8636007,N,V,59,0,191,1,1,I,S,N,N,1,0,98119.98,02 - PARTICULARES,80,197,1,3924114463
10429657,N,V,55,0,122,1,1,A,S,N,N,1,1,101916.42,02 - PARTICULARES,95,26,1,409039986
6077940,N,V,25,0,48,1,1,I,S,N,N,1,0,48196.29,03 - UNIVERSITARIO,37,149,1,2374812007
13644188,N,H,51,0,34,1,1,I,S,N,N,1,0,34536.84,02 - PARTICULARES,57,178,1,3928455114
13061158,N,V,59,0,216,1,1,A,S,N,N,1,1,67999.23,02 - PARTICULARES,11,143,1,2602173623
5972377,N,H,53,0,102,1,1,I,S,N,N,1,0,241445.88,02 - PARTICULARES,87,197,1,426998335
4144998,N,V,39,0,156,1,1,I,S,N,N,1,0,72539.79,02 - PARTICULARES,77,193,1,4222349193
11441307,N,V,71,0,38,1,1,I,S,N,N,1,0,44635.98,02 - PARTICULARES,83,123,1,2477769886
7184324,N,H,91,0,115,1,1,I,S,N,N,1,0,111869.07,02 - PARTICULARES,60,70,1,2906701461
4123842,N,H,39,0,129,1,1,A,S,N,N,1,1,149707.53,02 - PARTICULARES,24,7,1,4023850227
11397724,N,V,26,0,55,1,1,A,S,N,N,1,1,441767.16,03 - UNIVERSITARIO,38,48,1,3158497269
5320033,N,V,62,0,243,1,1,A,S,N,N,1,1,80829.24,02 - PARTICULARES,27,34,1,972194323
3185151,N,H,27,0,31,1,1,A,S,N,N,1,1,87738.15,03 - UNIVERSITARIO,45,107,1,1736573449
6161904,N,V,22,0,26,1,1,I,S,N,N,1,0,153581.73,03 - UNIVERSITARIO,23,110,1,1520820788
3269229,N,V,23,0,44,1,1,I,S,N,N,1,0,49238.94,03 - UNIVERSITARIO,72,151,1,1953175280
7802129,N,V,21,0,13,1,1,I,S,N,N,1,0,103171.08,03 - UNIVERSITARIO,43,111,1,4032919244
6908680,N,V,55,0,170,1,1,I,S,N,N,1,0,162599.76,02 - PARTICULARES,78,150,1,3276100569
9902257,N,V,33,0,40,1,1,I,S,N,N,1,0,90844.8,02 - PARTICULARES,99,32,1,2739037507
5729158,N,V,62,0,189,1,1,I,S,N,N,1,0,164350.53,02 - PARTICULARES,72,130,1,2164288921
4533597,N,H,41,0,19,1,1,A,S,N,N,1,1,56233.05,02 - PARTICULARES,59,2,1,3350099557
9095954,N,V,82,0,215,1,1,A,S,N,N,1,0,114414.66,02 - PARTICULARES,62,161,1,1359744893
13562310,N,V,44,0,26,1,1,I,S,N,N,1,0,106685.94,02 - PARTICULARES,50,143,1,3712195514
8296778,N,V,48,0,53,1,1,A,S,N,N,1,1,120074.64,02 - PARTICULARES,35,145,1,3388181632
1504994,N,V,32,0,161,1,1,A,S,N,N,1,1,61052.16,02 - PARTICULARES,4,94,1,2286161621
5991700,N,V,20,0,13,1,1,I,S,N,N,1,0,36859.08,03 - UNIVERSITARIO,47,134,1,3954288617
7567925,N,H,49,0,181,1,1,I,S,N,N,1,1,173464.44,02 - PARTICULARES,20,92,1,978090666
11690168,N,H,25,0,45,1,1,I,S,N,N,1,0,113435.07,03 - UNIVERSITARIO,49,107,1,3434581191
5323412,N,V,51,0,168,1,1,I,S,N,N,1,0,49382.61,02 - PARTICULARES,26,104,1,2947668943
470202,N,V,31,0,98,1,1,A,S,N,N,1,1,73120.89,02 - PARTICULARES,30,34,1,643733847
2986816,N,H,44,0,96,1,1,I,S,S,N,1,1,71793.93,02 - PARTICULARES,63,127,1,2217879142
8229867,N,H,34,0,59,1,1,I,S,N,N,1,0,71341.17,02 - PARTICULARES,43,128,1,1458074129
10622219,N,H,31,0,30,1,1,I,S,N,N,1,0,64242.3,03 - UNIVERSITARIO,64,102,1,2477307198
11426329,N,H,33,0,60,1,1,A,S,N,N,1,0,56047.32,02 - PARTICULARES,67,142,1,3743503110
398642,N,H,48,0,211,1,1,A,S,N,N,1,0,94696.41,02 - PARTICULARES,51,116,1,1504887032
5344547,N,V,53,0,217,1,1,A,S,N,N,1,1,103472.73,02 - PARTICULARES,93,160,1,3568811130
4828335,N,V,71,0,87,1,1,A,S,N,N,1,1,224784.24,01 - TOP,9,84,1,3857349713
13361116,N,H,19,0,10,1,1,I,S,N,N,1,0,106387.95,03 - UNIVERSITARIO,21,136,1,2921430282
1043533,N,V,35,0,8,1,1,A,S,N,N,1,1,39579.27,02 - PARTICULARES,15,48,1,3523361530
7336503,N,V,46,0,98,1,1,I,S,N,N,1,0,113566.05,02 - PARTICULARES,24,191,1,324782629
10722522,N,H,60,0,72,1,1,A,S,N,N,1,1,69832.62,01 - TOP,30,200,1,1731898664
9907948,N,H,22,0,41,1,1,I,S,N,N,1,0,118293.96,03 - UNIVERSITARIO,92,82,1,2933901310
12389943,N,H,32,0,54,1,1,A,S,N,N,1,1,59017.62,03 - UNIVERSITARIO,10,102,1,2506666131
13618114,N,V,39,0,38,1,1,A,S,N,N,1,1,87283.47,01 - TOP,85,200,1,1183111851
2611302,N,H,35,0,52,1,1,A,S,N,N,1,1,117886.23,02 - PARTICULARES,75,46,1,3097710067
2571309,N,V,50,0,27,1,1,A,S,N,N,1,1,102299.13,02 - PARTICULARES,20,196,1,599750741
4490393,N,H,20,0,11,1,1,I,S,N,N,1,0,111607.26,03 - UNIVERSITARIO,15,168,1,594630549
1151727,N,V,38,0,51,1,1,A,S,N,N,1,1,63773.76,02 - PARTICULARES,23,119,1,109281030
6989511,N,V,15,0,85,1,1,I,S,N,N,1,0,759327.12,02 - PARTICULARES,40,61,1,2505393563
13293504,N,H,22,0,21,1,1,I,S,N,N,1,0,158597.67,03 - UNIVERSITARIO,50,199,0,641273333
10499102,N,V,43,0,185,1,1,I,S,N,N,1,0,39343.95,02 - PARTICULARES,87,148,1,769917104
4646123,N,H,50,0,51,1,1,I,S,N,N,1,0,183078.45,02 - PARTICULARES,19,1,1,484246996
9950888,N,V,21,0,17,1,1,I,S,N,N,1,1,67047.6,03 - UNIVERSITARIO,38,27,1,3400147623
5263489,N,V,47,0,149,1,1,I,S,N,N,1,0,160278.21,02 - PARTICULARES,95,138,1,2171842850
6232460,N,V,18,1,3,1,1,I,S,N,N,1,1,77064.21,02 - PARTICULARES,94,29,1,4166584863
12824961,N,H,41,0,131,1,1,A,S,N,N,1,1,95475.6,02 - PARTICULARES,67,169,1,1758211569
2557300,N,H,25,0,32,1,1,I,S,N,N,1,0,44246.76,03 - UNIVERSITARIO,96,122,1,2649769100
9811498,N,H,47,0,155,1,1,I,S,N,N,1,0,97861.74,02 - PARTICULARES,25,98,1,2465005863
6126679,N,H,21,0,26,1,1,I,S,N,N,1,0,69083.1,03 - UNIVERSITARIO,56,112,1,303498115
11163726,N,H,61,0,212,1,1,A,S,N,N,1,1,286846.38,02 - PARTICULARES,62,5,1,2128907565
4437051,N,H,30,0,11,1,1,A,S,N,N,1,0,65322.9,03 - UNIVERSITARIO,85,117,1,2263884631
5749038,N,V,82,0,163,1,1,I,S,N,N,1,0,401611.71,02 - PARTICULARES,59,77,1,1900142251
11697226,N,V,33,0,49,1,1,A,S,N,N,1,1,182492.31,02 - PARTICULARES,57,85,1,11171516
12437882,N,V,22,0,46,1,1,A,S,N,N,1,1,83366.01,03 - UNIVERSITARIO,47,42,1,109440417
1948716,N,V,39,0,130,1,1,A,S,N,N,1,1,105260.88,02 - PARTICULARES,23,14,1,3253189245
11336624,N,V,31,0,90,1,1,I,S,N,N,1,0,127588.59,02 - PARTICULARES,55,179,1,563007337
12646348,N,H,23,0,30,1,1,I,S,N,N,1,0,63308.04,03 - UNIVERSITARIO,93,78,1,482974953
3012261,N,H,61,0,109,1,1,I,S,S,N,1,0,154407.42,02 - PARTICULARES,80,142,1,3727882744
10899024,N,V,31,0,22,1,1,A,S,S,N,1,1,52925.7,02 - PARTICULARES,65,190,1,2150054217
152722,N,V,24,0,46,1,1,I,S,N,N,1,0,149541.75,03 - UNIVERSITARIO,62,12,1,605612893
12106331,N,V,41,0,181,1,1,I,S,N,N,1,1,111460.89,02 - PARTICULARES,77,18,1,1267577739
11562685,N,V,22,0,32,1,1,I,S,N,N,1,0,445781.7,03 - UNIVERSITARIO,84,10,1,2637180226
3712347,N,H,45,0,132,1,1,A,S,N,N,1,1,127166.31,02 - PARTICULARES,78,179,1,2200927632
3135095,N,V,18,0,120,1,1,I,S,N,N,1,0,207519.15,02 - PARTICULARES,22,149,1,3705710347
10257627,N,V,46,0,163,1,1,I,S,N,N,1,0,117140.31,02 - PARTICULARES,73,70,1,4207536171
3862297,N,V,41,0,97,1,1,I,S,N,N,1,0,95960.49,02 - PARTICULARES,20,40,1,1028662018
3325780,N,H,19,0,13,1,1,A,S,N,N,1,0,48172.47,03 - UNIVERSITARIO,57,101,1,871270559
6112781,N,V,26,0,48,1,1,I,S,N,N,1,0,90221.58,03 - UNIVERSITARIO,96,55,1,265222574
8010503,N,H,40,0,37,1,1,I,S,S,N,1,0,82720.86,02 - PARTICULARES,50,33,1,1462275673
4931982,N,V,19,0,12,1,1,A,S,N,N,1,1,91362.09,03 - UNIVERSITARIO,92,57,1,2602130864
1967989,N,H,50,0,80,1,1,A,S,N,N,1,1,221443.02,02 - PARTICULARES,11,2,1,1702159438
8993340,N,H,22,1,6,1,1,I,S,N,N,1,0,64366.44,03 - UNIVERSITARIO,47,7,1,1251610575
5268002,N,V,46,0,200,1,1,A,S,N,N,1,1,159497.1,02 - PARTICULARES,72,179,1,1878085651
12684651,N,H,21,0,19,1,1,I,S,N,N,1,0,83203.02,03 - UNIVERSITARIO,62,56,1,4258507535
10557370,N,H,22,0,40,1,1,I,S,N,N,1,0,185199.42,03 - UNIVERSITARIO,41,117,1,2039216959
12000461,N,H,34,0,73,1,1,I,S,S,N,1,0,60336.57,02 - PARTICULARES,23,73,1,2267039853
3346592,N,V,33,1,6,1,1,A,S,S,N,1,1,97823.67,02 - PARTICULARES,21,82,1,3981976214
2348117,N,H,23,0,12,1,1,I,S,N,N,1,0,41616.39,03 - UNIVERSITARIO,14,40,1,3657676732
6329107,N,V,21,0,25,1,1,I,S,N,N,1,0,334204.53,03 - UNIVERSITARIO,32,187,1,2447478383
6539433,N,H,19,1,4,1,1,A,S,N,N,1,1,185232.3,03 - UNIVERSITARIO,57,14,1,3170132629
5946813,N,V,63,0,88,1,1,A,S,N,N,1,0,67146.93,02 - PARTICULARES,88,106,1,107171694
3050392,N,H,43,0,84,1,1,I,S,N,N,1,0,93272.76,02 - PARTICULARES,53,26,1,635799421
7420544,N,H,38,0,10,1,1,A,S,N,N,1,1,75401.58,02 - PARTICULARES,51,147,1,690041325
13006039,N,H,97,0,187,1,1,I,S,N,N,1,0,112917.81,02 - PARTICULARES,68,93,1,2984489631
7444359,N,V,28,1,4,1,1,A,S,N,N,1,1,124170.9,02 - PARTICULARES,49,161,1,1686857433
12022114,N,H,51,0,211,1,1,A,S,N,N,1,1,371953.32,02 - PARTICULARES,11,171,1,1897062571
10299164,N,H,68,0,115,1,1,I,S,N,N,1,0,158906.55,02 - PARTICULARES,68,166,1,1158460424
6427886,N,V,32,0,48,1,1,I,S,N,N,1,0,101913.48,03 - UNIVERSITARIO,83,131,1,2339345798
9917600,N,H,24,0,43,1,1,I,S,N,N,1,0,67345.95,03 - UNIVERSITARIO,95,159,1,535971514
9581838,N,H,46,0,77,1,1,A,S,N,N,1,1,54605.07,02 - PARTICULARES,12,196,1,415235039
9728025,N,V,43,0,151,1,1,I,S,N,N,1,0,66999.42,02 - PARTICULARES,72,148,1,3698895076
1364425,N,H,43,0,77,1,1,A,S,N,N,1,1,436757.43,02 - PARTICULARES,12,46,1,4222157201
